SUBJECT.NAME A1.A1 A2.A2 A3.A3 A4.A4 A5.A5 A6.A6 A7.A7 A8.A8 B1.B1 B2.B2 B3.B3 B4.B4 B5.B5 B6.B6 B7.B7 A1.A2 A1.A3 A1.A4 A1.A5 A1.A6 A1.A7 A1.A8 A1.B1 A1.B2 A1.B3 A1.B4 A1.B5 A1.B6 A1.B7 A2.A3 A2.A4 A2.A5 A2.A6 A2.A7 A2.A8 A2.B1 A2.B2 A2.B3 A2.B4 A2.B5 A2.B6 A2.B7 A3.A4 A3.A5 A3.A6 A3.A7 A3.A8 A3.B1 A3.B2 A3.B3 A3.B4 A3.B5 A3.B6 A3.B7 A4.A5 A4.A6 A4.A7 A4.A8 A4.B1 A4.B2 A4.B3 A4.B4 A4.B5 A4.B6 A4.B7 A5.A6 A5.A7 A5.A8 A5.B1 A5.B2 A5.B3 A5.B4 A5.B5 A5.B6 A5.B7 A6.A7 A6.A8 A6.B1 A6.B2 A6.B3 A6.B4 A6.B5 A6.B6 A6.B7 A7.A8 A7.B1 A7.B2 A7.B3 A7.B4 A7.B5 A7.B6 A7.B7 A8.B1 A8.B2 A8.B3 A8.B4 A8.B5 A8.B6 A8.B7 B1.B2 B1.B3 B1.B4 B1.B5 B1.B6 B1.B7 B2.B3 B2.B4 B2.B5 B2.B6 B2.B7 B3.B4 B3.B5 B3.B6 B3.B7 B4.B5 B4.B6 B4.B7 B5.B6 B5.B7 B6.B7
1 22003.11003 0 0 0 0 0 0 0 3.5504728788089e-12 0 0 0 0 0 0 0 0 0 0 0 0 0 3.91139762289463e-10 1.46025630680185e-10 3.11272208753973e-10 9.03770731437994e-05 1.3420227690903e-10 8.75340923309881e-11 3.4047757694947e-10 6.80196665134756e-11 0 0 0 0 0 3.40522670616874e-12 1.27128567667664e-12 2.70990714912983e-12 7.86814465737896e-07 1.16835264889558e-12 7.62063736913385e-13 2.9641663918125e-12 5.92172945037908e-13 0 0 0 0 4.39005131920452e-12 1.63895383290334e-12 3.49363859780843e-12 1.0143688456996e-06 1.50625157446595e-12 9.82459965879507e-13 3.82143208120174e-12 7.63435108109384e-13 0 0 0 2.57774044587969e-13 9.62357220181661e-14 2.05138684312443e-13 5.9561481415073e-08 8.84437406958238e-14 5.76878629966468e-14 2.24385988241269e-13 4.48272107291604e-14 0 0 2.29224988091029e-12 8.55773988758498e-13 1.82419112613496e-12 5.29649130884273e-07 7.86483970491748e-13 5.12988021332403e-13 1.99534734246084e-12 3.98624960940906e-13 0 3.1874961458019e-13 1.18999953432738e-13 2.53663539572402e-13 7.36505464513541e-08 1.09364805536903e-13 7.13337299941415e-14 2.77463727519283e-13 5.54309343497484e-14 4.32738873440419e-06 1.61555978211199e-06 3.44377120242305e-06 0.999889977643003 1.48475168524991e-06 9.68436557848822e-07 3.76688583687893e-06 7.52538010621667e-07 1.32551095880985e-12 2.82549523638061e-12 8.20375165094362e-07 1.21818743676409e-12 7.94568721352163e-13 3.09059962537649e-12 6.17431425964302e-13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 22004.11004 0 0 0 0 0 0 0 4.75596755862335e-13 0 0 0 0 0 0 0 0 0 0 0 0 0 3.96346646075508e-10 1.70864686800869e-10 2.76563782123591e-10 0.000113679551335156 1.55282129321542e-10 4.61877287735934e-11 2.58107327332095e-10 4.8270818339541e-11 0 0 0 0 0 3.95215688412137e-10 1.70377131957526e-10 2.7577461957636e-10 0.000113355171752222 1.54839038618291e-10 4.60559341278523e-11 2.57370829464108e-10 4.81330796896525e-11 0 0 0 0 6.83895904335399e-13 2.94826916427099e-13 4.77210643144433e-13 1.96153998865901e-07 2.67939222675423e-13 7.96968987919657e-14 4.45364041273476e-13 8.32912686109649e-14 0 0 0 5.36155648990256e-14 2.31136223677755e-14 3.74120067773766e-14 1.53779360129643e-08 2.10057008548823e-14 6.24801848109347e-15 3.49153204562544e-14 6.529807225667e-15 0 0 1.15651061880708e-09 4.98570699716996e-10 8.06992954199104e-10 0.000331708643335626 4.53101932991064e-10 1.34772425386099e-10 7.53138364628964e-10 1.40850728878254e-10 0 1.98887129341972e-14 8.57400646636629e-15 1.38779972660701e-14 5.70445085225351e-09 7.79207222886068e-15 2.31770468542215e-15 1.29518505842054e-14 2.42223432078952e-15 3.48453466595297e-06 1.50217979700375e-06 2.4314475616204e-06 0.999429013363888 1.36518365421168e-06 4.06065608594953e-07 2.2691851653863e-06 4.24379369734858e-07 2.05029338682598e-13 3.31863127566215e-13 1.36409949114559e-07 1.86331025328398e-13 5.54230348178235e-14 3.09716276796893e-13 5.79226412849023e-14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 22005.11005 0 0 0 0 0 0 0 2.75689758918098e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 2.76582632141931e-11 2.41649423103266e-11 2.75871912676627e-11 9.26828736050477e-12 5.11789493139265e-12 5.82554503861755e-05 1.21996932876219e-10 2.49321174766189e-11 0 0 0 0 0 2.7558334904645e-11 2.40776352434765e-11 2.74875197384995e-11 9.23480137184495e-12 5.099404161203e-12 5.80449755405943e-05 1.21556162348512e-10 2.48420386335044e-11 0 0 0 0 4.19497254643869e-11 3.66513503733217e-11 4.18419295184853e-11 1.40573580953813e-11 7.76239222487864e-12 8.83569633992859e-05 1.85034678498121e-10 3.78149370873474e-11 0 0 0 5.4359089152647e-14 4.74933745204051e-14 5.421940553449e-14 1.82157373736863e-14 1.00586253263615e-14 1.14494290427632e-07 2.39770736839499e-13 4.90011677949583e-14 0 0 5.77116935347587e-08 5.04225349978967e-08 5.75633949100289e-08 1.93391955091036e-08 1.06789924420149e-08 0.121555741710168 2.54558630374155e-07 5.20233216323164e-08 0 3.25561932466019e-14 2.84442492124475e-14 3.24725353535615e-14 1.09095843089233e-14 6.02420965885962e-15 6.85717568653015e-08 1.43601053018136e-13 2.93472814373702e-14 4.16937067506256e-07 3.64276675845474e-07 4.15865686821979e-07 1.39715661933218e-07 7.71501843038716e-08 0.878177218221142 1.83905413887545e-06 3.75841529416374e-07 2.40869322423144e-11 2.74981333820937e-11 9.23836716793557e-12 5.1013731732792e-12 5.80673882096414e-05 1.21603098332411e-10 2.48516307882975e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 22006.11006 0 0 0 0 0 0 0 1.17223243391919e-12 0 0 0 0 0 0 0 0 0 0 0 0 0 1.03472970847744e-06 1.62647378603398e-06 3.17860271593528e-06 0.999979988217239 1.5638765652648e-06 3.57765429115938e-07 1.05221433492503e-06 3.33360084466728e-07 0 0 0 0 0 1.54446499687518e-12 2.4277178960686e-12 4.74446668875308e-12 1.49259664308832e-06 2.33428362469553e-12 5.34010165006914e-13 1.57056301388435e-12 4.97582100519577e-13 0 0 0 0 2.40096882822365e-12 3.77404149914348e-12 7.37557448649791e-12 2.32033618140712e-06 3.62879199623572e-12 8.30152682469494e-13 2.44153985148688e-12 7.73522944998218e-13 0 0 0 3.87524932330472e-13 6.09143758709277e-13 1.19044402833547e-12 3.74510535544519e-07 5.85699970883424e-13 1.33989603828369e-13 3.94073240188467e-13 1.24849362221115e-13 0 0 2.40088604894143e-12 3.77391137981718e-12 7.37532019549889e-12 2.32025618213293e-06 3.62866688474187e-12 8.30124060922067e-13 2.44145567341924e-12 7.7349627589972e-13 0 2.38802014275315e-13 3.75368768373755e-13 7.3357972128127e-13 2.30782235655205e-07 3.60922152716307e-13 8.25675578955515e-14 2.42837236208469e-13 7.69351251804513e-14 3.09733297805825e-12 4.868644298271e-12 9.51474663919587e-12 2.99331406987536e-06 4.68126740686188e-12 1.07092572382067e-12 3.14967100378752e-12 9.97871400354784e-13 1.84261194907979e-12 3.60099953411573e-12 1.13286490747737e-06 1.77169633521691e-12 4.05308010689889e-13 1.19204055003773e-12 3.77659498885897e-13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 22007.11007 0 0 0 0 0 0 0 3.07868802278891e-14 0 0 0 0 0 0 0 0 0 0 0 0 0 4.89724853462412e-14 5.91403635682566e-14 4.91768918006982e-14 3.15076032901935e-13 2.57447742753823e-14 1.53719755664554e-12 1.03418168451e-06 6.84282805592607e-14 0 0 0 0 0 3.61984399021497e-14 4.37141158199588e-14 3.63495287167149e-14 2.32891199230995e-13 1.90294745674648e-14 1.13623298835161e-12 7.64424416893772e-07 5.05793607148827e-14 0 0 0 0 2.25562682886788e-14 2.72394978099266e-14 2.26504159880261e-14 1.4512107113253e-13 1.18578020184465e-14 7.08018803931496e-13 4.7633440226933e-07 3.15174254260333e-14 0 0 0 2.74392968552971e-15 3.31363617877757e-15 2.75538258473082e-15 1.76537186905282e-14 1.44248040265952e-15 8.61292208958146e-14 5.79452279028742e-08 3.83403842032539e-15 0 0 2.26333743532945e-14 2.73326129676003e-14 2.27278438859564e-14 1.4561715118197e-13 1.18983365801449e-14 7.10439086530832e-13 4.77962697815827e-07 3.16251641978159e-14 0 3.19746962233624e-15 3.86134202964105e-15 3.21081555371209e-15 2.05716748253104e-14 1.68090577999952e-15 1.00365387955155e-13 6.75229059096763e-08 4.46776076096638e-15 4.7353587536606e-08 5.71853432264306e-08 4.75512368669543e-08 3.04660472083913e-07 2.4893721722315e-08 1.48638196622093e-06 0.999994437283705 6.61662268217125e-08 3.71789848307031e-14 3.09153817116648e-14 1.98074653941876e-13 1.61846244172917e-14 9.66369518076389e-13 6.5014522807611e-07 4.30178959242886e-14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 22008.11008 0 0 0 0 0 0 0 1.17811321838573e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 2.07488723974131e-10 2.85683290074836e-07 2.07815892584539e-10 5.21323830156336e-13 3.80091302797044e-13 1.4304848751863e-09 8.24855360167231e-07 2.67191143831199e-10 0 0 0 0 0 1.44182773140648e-10 1.98519747068613e-07 1.44410120808654e-10 3.62265062392576e-13 2.64123355882954e-13 9.94036072369065e-10 5.73187453230792e-07 1.85669656347238e-10 0 0 0 0 8.96933270134073e-11 1.23495312266429e-07 8.9834755620224e-11 2.2535812010644e-13 1.64306054149611e-13 6.18370701020912e-10 3.56568878256079e-07 1.15501518249859e-10 0 0 0 1.19850791144471e-11 1.65017971465732e-08 1.20039772097478e-11 3.01129971258064e-14 2.19550453031065e-14 8.26284632376709e-11 4.76457542377701e-08 1.54336435067949e-11 0 0 9.00939441149432e-11 1.24046906634716e-07 9.02360044155595e-11 2.26364686814252e-13 1.650399305412e-13 6.2113266655577e-10 3.58161500530906e-07 1.16017408171718e-10 0 1.37360772792094e-11 1.89126795648712e-08 1.37577363517114e-11 3.45124509966801e-14 2.51626373153006e-14 9.47003307743562e-11 5.46067118945694e-08 1.76884706295812e-11 0.000186480475190088 0.256757835638649 0.000186774517954281 4.68539753454702e-07 3.4160703002853e-07 0.00128564817483881 0.741338693404148 0.000240138020581962 1.6220990416378e-07 1.17997086952542e-10 2.96005721951054e-13 2.15814420871603e-13 8.12223964695044e-10 4.68349790030273e-07 1.51710132653948e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 22009.11009 0 0 0 0 0 0 0 1.12709247406715e-13 0 0 0 0 0 0 0 0 0 0 0 0 0 8.19375496901138e-07 1.97976256270302e-06 2.30660589608306e-06 0.999986304846841 1.29151874686009e-06 3.04046201153911e-07 1.87264540638918e-06 3.37912735479824e-07 0 0 0 0 0 6.74343154362633e-13 1.62933763149044e-12 1.89832854621448e-12 8.22985214569109e-07 1.06291538979373e-12 2.50228955019437e-13 1.54118058829326e-12 2.781009937502e-13 0 0 0 0 2.59769107396031e-13 6.27650150284507e-13 7.31270286951496e-13 3.17028701493696e-07 4.09454118808688e-13 9.6392692458602e-14 5.93690472227644e-13 1.07129502902301e-13 0 0 0 1.07898230865226e-13 2.60702057672875e-13 3.0374193081428e-13 1.31681693668522e-07 1.70071705149234e-13 4.00378670461485e-14 2.46596495930686e-13 4.44975307206449e-14 0 0 3.07937389158855e-13 7.44033617088708e-13 8.66867754948181e-13 3.758144746502e-07 4.85378086679345e-13 1.14266528253651e-13 7.03776887940531e-13 1.26994236367479e-13 0 5.85733673069996e-14 1.41524075597103e-13 1.64888594905182e-13 7.14843992251215e-08 9.23247061082658e-14 2.17348576883727e-14 1.33866765163266e-13 2.41558197039431e-14 2.39809568701897e-12 5.79424217699369e-12 6.75082629633081e-12 2.92669582358843e-06 3.7799342893006e-12 8.89862933904246e-13 5.48073854949513e-12 9.88981335917007e-13 2.7232636237006e-13 3.17285317408975e-13 1.37553178320035e-07 1.77654941502148e-13 4.18230940985325e-14 2.57591855275157e-13 4.64816073327986e-14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 22010.11010 0 0 0 0 0 0 0 4.91545813663168e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 4.92540400335621e-11 5.81865316249498e-05 1.3495974498006e-10 6.39752995476679e-11 5.61484792181828e-11 3.75563512629442e-11 1.21689634505901e-11 6.31628443062363e-11 0 0 0 0 0 4.91345961168243e-11 5.80454258956749e-05 1.34632459735411e-10 6.38201557189131e-11 5.6012315884736e-11 3.746527492301e-11 1.21394530052299e-11 6.30096707287776e-11 0 0 0 0 7.48027203311023e-11 8.83686058892251e-05 2.04965035412755e-10 9.71600793945391e-11 8.527339046934e-11 5.70372955855879e-11 1.84811554360542e-11 9.59261935617237e-11 0 0 0 1.04895181535743e-13 1.23918500768168e-07 2.87420624583373e-13 1.362467049461e-13 1.1957810804015e-13 7.99828862944492e-14 2.59159579474429e-14 1.34516437947057e-13 0 0 1.02895330051948e-07 0.121555965196919 2.81940882290822e-07 1.33649129241865e-07 1.17298323084423e-07 7.84579936207124e-08 2.54218640701422e-08 1.31951850193028e-07 0 6.30093854037305e-14 7.44364846815524e-08 1.72650417704685e-13 8.18419017561062e-14 7.18292583609607e-14 4.80448428082701e-14 1.55674317781783e-14 8.08025493416494e-14 7.43361323796053e-07 0.878173996414308 2.03686549609318e-06 9.65540356275299e-07 8.4741490875312e-07 5.66815208919882e-07 1.83658777507235e-07 9.53278462562946e-07 5.80690355802985e-05 1.346872208103e-10 6.38461142458065e-11 5.6035098612103e-11 3.74805137348823e-11 1.21443906665966e-11 6.30352995949836e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 22011.11011 0 0 0 0 0 0 0 2.50187261658745e-14 0 0 0 0 0 0 0 0 0 0 0 0 0 3.62326132240642e-14 4.26861846322848e-14 3.64333388598043e-14 2.74844068563007e-13 9.90857754268136e-15 1.31675017454204e-12 9.08875625628634e-07 5.27637585721672e-14 0 0 0 0 0 3.15095573135427e-14 3.71218816829401e-14 3.16841176160121e-14 2.39017121870789e-13 8.61695760242432e-15 1.14510689129079e-12 7.90400307025247e-07 4.58858063735636e-14 0 0 0 0 1.90585529421557e-14 2.24531668384525e-14 1.91641357255984e-14 1.44569484932061e-13 5.21196604039661e-15 6.92617801479331e-13 4.78073555494301e-07 2.77540259090915e-14 0 0 0 2.31231532419361e-15 2.72417333649661e-15 2.32512535698397e-15 1.75401687858349e-14 6.32351731055539e-16 8.40331771793373e-14 5.80031869059709e-08 3.36731018416974e-15 0 0 1.90424872577213e-14 2.24342396148551e-14 1.91479810386209e-14 1.44447617981784e-13 5.20757253780793e-15 6.92033949228535e-13 4.77670556436487e-07 2.77306302492325e-14 0 2.63055470454213e-15 3.09909591971781e-15 2.64512775678523e-15 1.99541874913327e-14 7.19381047925896e-16 9.55984969929728e-14 6.5986050690188e-08 3.83074641850994e-15 3.98651016997561e-08 4.69656737430798e-08 4.00859510167248e-08 3.02398468393166e-07 1.09019586579685e-08 1.44876052126505e-06 0.999994646371542 5.80535714753196e-08 2.94749362342931e-14 2.51573278086541e-14 1.89780638983163e-13 6.84190198208044e-15 9.09219874426701e-13 6.27581296878097e-07 3.64335307264733e-14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 22012.11012 0 0 0 0 0 0 0 3.41543316358569e-14 0 0 0 0 0 0 0 0 0 0 0 0 0 6.30723499891734e-14 7.46603009691398e-14 6.33796442279571e-14 4.58530590048007e-13 1.68392020674248e-14 2.21440196298715e-12 1.52012638328349e-06 9.06589830758611e-14 0 0 0 0 0 3.26662125688078e-14 3.86678039161016e-14 3.28253653342748e-14 2.37480571540147e-13 8.72130108229722e-15 1.14687537800859e-12 7.87298579747151e-07 4.69537858179754e-14 0 0 0 0 2.17400843770281e-14 2.5734275684385e-14 2.18460040499256e-14 1.58048554062173e-13 5.80421807417165e-15 7.63270839413164e-13 5.2396455565715e-07 3.12487792502276e-14 0 0 0 2.62926834580433e-15 3.11232998390071e-15 2.64207838086757e-15 1.91145560012138e-14 7.01968152004529e-16 9.23107667174049e-14 6.33688166347912e-08 3.7792597628769e-15 0 0 2.16384718726874e-14 2.56139944493017e-14 2.17438964802008e-14 1.57309839846203e-13 5.7770893324415e-15 7.59703334331861e-13 5.21515560990766e-07 3.11027233903635e-14 0 3.26043335431018e-15 3.85945561826069e-15 3.27631848283147e-15 2.37030716315576e-14 8.70478047671049e-16 1.14470287237e-13 7.85807214044688e-08 4.6864842096278e-15 4.14912566656739e-08 4.91142269279451e-08 4.16934058504664e-08 3.01637887346999e-07 1.10774317929267e-08 1.45671312743291e-06 0.999993720606641 5.96387345087859e-08 4.04293272689316e-14 3.43207346530745e-14 2.48299069883602e-13 9.11860255710715e-15 1.1991216282878e-12 8.23164201619124e-07 4.90927795503735e-14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
