SUBJECT.NAME	mcv
OR1009m158	44.6
OR1057m169	48.5
OR1114m66	46.3
OR113m87	61.5
OR1234m179	47
OR1237m84	60.9
OR1246m70	51.7
OR125m64	51.4
OR1401m157	55.1
OR1427m53	70.5
OR1524m177	54.2
OR1566m188	56.1
OR1635m174	43.3
OR1639m149	49.7
OR166m65	62.6
OR2041m60	64.5
OR2075m59	55.7
OR219m71	56.5
OR220m52	46.8
OR2291m70	50.4
OR232m155	62.8
OR237m72	52.8
OR2558m55	57.2
OR291m157	43.2
OR3009m54	52.2
OR3011m48	54.1
OR3018m50	64.5
OR3019m54	54.2
OR3046m53	57.6
OR3061m49	70
OR3066m50	54.8
OR3067m51	55.2
OR3076m40	66.4
OR3078m52	56.2
OR3080m40	58.3
OR3081m35	56.1
OR3087m57	48.2
OR3091m49	66.3
OR3118m48	47.6
OR3140m58	52.4
OR3154m44	62.9
OR3156m41	53.1
OR3168m50	51.6
OR3180m54	50.8
OR3181m52	52.6
OR3232m54	49.3
OR3289m52	50.9
OR3291m42	58
OR3327m48	49
OR3344m55	42
OR3358m55	55.7
OR3370m47	65.6
OR3389m51	47.4
OR3401m39	54
OR3415m51	47.5
OR3426m56	48.9
OR3431m38	44.5
OR3443m48	56.8
OR3467m61	54.1
OR3489m49	58
OR3513m61	60.6
OR3515m67	67.8
OR3528m42	60.8
OR3546m38	52.9
OR3548m52	52.8
OR3549m47	61.9
OR3564m41	57.4
OR3584m51	43.7
OR3594m47	43
OR3612m60	46.7
OR381m65	63
OR4010m155	57.8
OR4179m174	59.4
OR41m114	52.7
OR4227m141	52.1
OR4251m142	52.8
OR4390m150	40.4
OR4410m171	57.6
OR4559m154	41.1
OR4650m146	48.7
OR477m143	63.5
OR489m79	38.5
OR5019m130	53.3
OR5046m132	57.3
OR5049m130	56.7
OR5066m143	54.8
OR5067m141	56.6
OR5076m133	51.4
OR5087m133	61.3
OR5091m144	49.7
OR5118m137	70.7
OR5130m140	54.5
OR5140m134	59
OR5154m140	41.2
OR5156m127	55.1
OR5164m131	46.8
OR5232m137	70.6
OR5252m131	41.8
OR5291m125	49.1
OR5308m141	67.1
OR5344m140	45.3
OR5370m142	62.3
OR5389m137	59.2
OR538m149	53.4
OR5401m137	59.9
OR5410m133	48.6
OR5454m136	69.8
OR5480m136	60.7
OR5489m140	52.9
OR5513m128	67.4
OR5515m126	65.7
OR5516m139	57.7
OR5528m164	64.8
OR5546m131	46.4
OR5549m133	43.8
OR555m52	58.3
OR5560m130	40.7
OR559m152	53.7
OR5612m133	47.9
OR692m181	48.8
OR712m172	55.6
OR739m165	54.7
OR779m146	47.6
OR799m164	64.2
OR801m64	52.9
OR820m63	54.2
OR821m62	52
OR867m181	51.4
OR896m61	53.1
OR900m153	47.9
OR940m160	62.6
